School Years,DISTRICT,All Count,Black Count,Hispanic Count,White Count,Black Percentage,Hispanic Percentage,White Percentage,DISTNAME
1999,1902,624,76,14,528,0.1217948717948718,0.02243589743589744,0.8461538461538461,CAYUGA ISD
1999,1903,1126,80,30,1013,0.07104795737122557,0.02664298401420959,0.8996447602131439,ELKHART ISD
1999,1904,807,105,26,670,0.13011152416356878,0.0322180916976456,0.8302354399008675,FRANKSTON ISD
1999,1906,339,45,6,287,0.13274336283185842,0.017699115044247787,0.8466076696165191,NECHES ISD
1999,1907,3719,1223,756,1716,0.328851841892982,0.2032804517343372,0.4614143586985749,PALESTINE ISD
1999,1908,1840,293,149,1385,0.1592391304347826,0.08097826086956522,0.7527173913043478,WESTWOOD ISD
1999,1909,364,8,18,337,0.02197802197802198,0.04945054945054945,0.925824175824176,SLOCUM ISD
1999,2901,3468,61,1706,1667,0.017589388696655134,0.4919261822376009,0.4806805074971165,ANDREWS ISD
1999,3902,2235,60,373,1792,0.026845637583892617,0.1668903803131991,0.8017897091722596,HUDSON ISD
1999,3903,8098,2562,1675,3754,0.31637441343541617,0.20684119535687825,0.4635712521610274,LUFKIN ISD
1999,3904,1622,82,26,1514,0.05055487053020962,0.016029593094944512,0.933415536374846,HUNTINGTON ISD
1999,3905,1942,354,716,871,0.1822863027806385,0.368692070030896,0.4485066941297631,DIBOLL ISD
1999,3906,443,0,5,438,0.0,0.011286681715575621,0.9887133182844244,ZAVALLA ISD
1999,3907,1637,46,119,1470,0.028100183262064756,0.07269395235186317,0.8979841172877214,CENTRAL ISD
1999,3907,1637,46,119,1470,0.028100183262064756,0.07269395235186317,0.8979841172877214,CENTRAL
1999,4901,3468,75,992,2197,0.02162629757785467,0.2860438292964245,0.6335063437139562,ARANSAS COUNTY ISD
1999,5901,610,1,15,594,0.001639344262295082,0.024590163934426233,0.9737704918032788,ARCHER CITY ISD
1999,5902,985,1,31,953,0.0010152284263959394,0.03147208121827411,0.96751269035533,HOLLIDAY ISD
1999,5903,76,1,10,65,0.013157894736842105,0.13157894736842105,0.8552631578947368,MEGARGEL ISD
1999,5904,372,1,46,321,0.0026881720430107533,0.12365591397849462,0.8629032258064516,WINDTHORST ISD
1999,6902,387,0,21,365,0.0,0.05426356589147287,0.9431524547803618,CLAUDE ISD
1999,7901,499,0,416,83,0.0,0.8336673346693386,0.16633266533066132,CHARLOTTE ISD
1999,7902,1303,5,711,581,0.003837298541826554,0.545663852647736,0.4458940905602456,JOURDANTON ISD
1999,7904,1344,2,902,435,0.001488095238095238,0.6711309523809523,0.3236607142857143,LYTLE ISD
1999,7905,3414,25,2051,1325,0.007322788517867605,0.6007615700058583,0.388107791446983,PLEASANTON ISD
1999,7906,1645,4,1347,291,0.0024316109422492407,0.8188449848024316,0.17689969604863226,POTEET ISD
1999,8901,2116,326,253,1532,0.15406427221172025,0.11956521739130435,0.724007561436673,BELLVILLE ISD
1999,8902,2238,346,615,1262,0.1546023235031278,0.27479892761394104,0.5638963360142984,SEALY ISD
1999,8903,874,133,241,498,0.15217391304347827,0.2757437070938215,0.5697940503432495,BRAZOS ISD
1999,9901,1383,28,838,513,0.020245842371655817,0.6059291395516992,0.37093275488069416,MULESHOE ISD
1999,9903,109,0,62,47,0.0,0.5688073394495413,0.4311926605504587,THREE WAY ISD
1999,10901,316,0,41,275,0.0,0.12974683544303794,0.8702531645569621,MEDINA ISD
1999,10902,2479,13,435,2024,0.005244050020169424,0.1754739814441307,0.8164582492940702,BANDERA ISD
1999,11901,5844,603,1538,3624,0.10318275154004107,0.26317590691307324,0.6201232032854209,BASTROP ISD
1999,11902,2638,370,1021,1227,0.14025777103866566,0.38703563305534494,0.4651250947687642,ELGIN ISD
1999,11904,1794,210,330,1246,0.11705685618729098,0.1839464882943144,0.6945373467112598,SMITHVILLE ISD
1999,11905,177,4,55,116,0.02259887005649717,0.3107344632768362,0.655367231638418,MCDADE ISD
1999,12901,751,53,101,593,0.07057256990679095,0.13448735019973368,0.7896138482023968,SEYMOUR ISD
1999,13901,4157,152,2929,1046,0.03656483040654318,0.7045946596102959,0.25162376713976425,BEEVILLE ISD
1999,13902,120,2,70,44,0.016666666666666666,0.5833333333333334,0.36666666666666653,PAWNEE ISD
1999,13903,455,2,201,252,0.0043956043956043965,0.44175824175824174,0.5538461538461539,PETTUS ISD
1999,13905,718,5,425,288,0.0069637883008356535,0.5919220055710307,0.4011142061281337,SKIDMORE-TYNAN ISD
1999,14802,109,50,14,42,0.4587155963302753,0.12844036697247707,0.3853211009174312,TRANSFORMATIVE CHARTER ACADEMY
1999,14802,109,50,14,42,0.4587155963302753,0.12844036697247707,0.3853211009174312,TRANSFORMATIVE CHARTER ACAD
1999,14901,926,5,99,820,0.005399568034557235,0.10691144708423328,0.8855291576673866,ACADEMY ISD
1999,14902,573,115,197,258,0.2006980802792321,0.343804537521815,0.450261780104712,BARTLETT ISD
1999,14903,6605,353,1416,4753,0.05344436033308099,0.21438304314912945,0.7196063588190764,BELTON ISD
1999,14905,484,21,72,386,0.04338842975206612,0.1487603305785124,0.7975206611570248,HOLLAND ISD
1999,14906,28533,10999,4750,11411,0.3854834752742439,0.16647390740546034,0.3999228962955175,KILLEEN ISD
1999,14907,858,22,138,696,0.02564102564102564,0.16083916083916086,0.8111888111888111,ROGERS ISD
1999,14908,964,5,116,832,0.0051867219917012455,0.12033195020746887,0.8630705394190872,SALADO ISD
1999,14909,8595,2349,1885,4219,0.2732984293193717,0.2193135543920884,0.4908667830133799,TEMPLE ISD
